epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.3333333432674408,0.009999999776482582,1.1518656015396118,0.3333333432674408,0.9942508339881897
1,0.3333333432674408,0.009999999776482582,0.9758893847465515,0.375,0.9774203896522522
2,0.375,0.009999999776482582,0.9360567927360535,0.7916666865348816,0.9149609208106995
3,0.6145833134651184,0.009999999776482582,0.9093833565711975,0.6666666865348816,0.9144642949104309
4,0.6875,0.009999999776482582,0.8822002410888672,0.8333333134651184,0.8555808663368225
5,0.6979166865348816,0.009999999776482582,0.8644259572029114,0.8333333134651184,0.8363494277000427
6,0.7395833134651184,0.009999999776482582,0.8428859114646912,0.8333333134651184,0.8050021529197693
7,0.625,0.009999999776482582,0.8407154679298401,0.6666666865348816,0.80974942445755
8,0.78125,0.009999999776482582,0.8138396143913269,0.8333333134651184,0.7649712562561035
9,0.625,0.009999999776482582,0.8008432388305664,0.7083333134651184,0.7638392448425293
10,0.625,0.009999999776482582,0.7916066646575928,0.6666666865348816,0.7489778399467468
11,0.6875,0.009999999776482582,0.7806099057197571,0.7083333134651184,0.7249273657798767
12,0.7916666865348816,0.009999999776482582,0.7585909366607666,0.9583333134651184,0.6914210319519043
13,0.8333333134651184,0.009999999776482582,0.7496331334114075,0.9583333134651184,0.6767563223838806
14,0.71875,0.009999999776482582,0.740339457988739,1.0,0.6653386950492859
15,0.7291666865348816,0.009999999776482582,0.7360751032829285,0.8333333134651184,0.635215163230896
16,0.71875,0.009999999776482582,0.7183063626289368,0.9166666865348816,0.6375345587730408
17,0.8125,0.009999999776482582,0.7059069275856018,0.8333333134651184,0.6025413870811462
18,0.6979166865348816,0.009999999776482582,0.6981049180030823,0.9583333134651184,0.5996915698051453
19,0.7083333134651184,0.009999999776482582,0.6925032734870911,0.75,0.607280969619751
20,0.6354166865348816,0.009999999776482582,0.6836723685264587,0.7083333134651184,0.6001214385032654
21,0.8229166865348816,0.009999999776482582,0.6611914038658142,0.9583333134651184,0.574535608291626
22,0.8229166865348816,0.009999999776482582,0.6534851789474487,1.0,0.5602585673332214
23,0.90625,0.009999999776482582,0.6389808654785156,1.0,0.5453571677207947
24,0.8333333134651184,0.009999999776482582,0.6357981562614441,0.8333333134651184,0.523188591003418
25,0.7916666865348816,0.009999999776482582,0.6279661655426025,0.9166666865348816,0.5157465934753418
26,0.8541666865348816,0.009999999776482582,0.6166741251945496,0.8333333134651184,0.5018022060394287
27,0.7604166865348816,0.009999999776482582,0.6062064170837402,1.0,0.5099025368690491
28,0.90625,0.009999999776482582,0.6006948947906494,0.9166666865348816,0.4875199794769287
29,0.84375,0.009999999776482582,0.5903342366218567,1.0,0.4877857267856598
30,0.84375,0.009999999776482582,0.5910388827323914,0.875,0.4941929876804352
31,0.9166666865348816,0.009999999776482582,0.5776862502098083,1.0,0.4722883701324463
32,0.78125,0.009999999776482582,0.5960702300071716,0.8333333134651184,0.45124363899230957
33,0.8125,0.009999999776482582,0.5664861798286438,0.9583333134651184,0.45067891478538513
